slope,elev_5x5_rel,elev_5x5_std_dev,slope_5x5_std_dev,twi_10m,twi_100m,dd_s,dd_h,dd_v,label
89.99933,2.761587,9.350258,0.0006546831,9.191896,-5.49325,216.00308,196.15154,87.37863,1
89.99643,0.63957155,1.7585407,0.0013798232,11.684757,-2.9552634,12.395204,12.263233,1.8014026,1
89.99453,1.4023633,3.1879256,0.0012298282,17.873726,-0.8900265,0.0,0.0,0.0,1
89.99705,1.2960205,2.4346306,0.0008742167,16.1577,-1.3220029,0.0,0.0,0.0,1
89.99777,1.6569335,3.5021133,0.0004849175,15.136948,-2.4524593,0.0,0.0,0.0,1
89.987785,0.32222167,0.93950146,0.015209471,9.12829,0.09095798,12.833169,12.820463,0.57032824,1
89.99739,0.7128955,2.3441732,35.998615,10.122194,-3.992683,52.18671,52.01821,1.5914308,1
89.99814,3.188623,5.0589705,0.00037689938,15.732837,-5.4611,7.422204,7.42201,0.05371094,1
89.99895,0.74783933,5.36542,0.00071283313,8.392422,3.2256136,36.966377,35.895794,7.084597,1
89.993835,0.66112304,1.4714091,0.0016876608,11.860442,-0.16470662,7.472145,7.414968,0.9226075,1
89.9971,-0.76080567,2.8842125,0.0008914882,7.404366,-3.1875608,49.058,47.300606,12.77946,1
89.999374,2.0459375,8.430977,0.0009758351,8.005405,-0.24050632,13.493466,11.117538,7.6466703,1
89.99497,-0.21621093,1.228632,0.0015347558,8.890656,-3.397167,278.9023,276.52017,34.54602,1
89.99755,2.2074537,3.8260899,0.0008491384,10.552336,-1.6142453,20.501368,20.160994,3.7067595,1
89.99883,2.7644165,6.6056676,0.00019888004,12.7639065,-5.3499217,10.661015,9.978155,3.7541504,1
0.0,4.206413e-12,0.0,0.0,9.605922,7.8571634,264.0761,264.0761,0.0,1
89.99232,-0.6325488,1.1836956,0.002076621,7.9326134,-3.2091203,103.96941,102.46786,16.99929,1
89.98056,0.47811767,0.9286994,0.0032161344,17.308859,-1.9432452,0.0,0.0,0.0,1
89.99632,3.4050367,2.8576603,0.0011259988,14.418014,-1.3788514,111.55969,110.955795,10.312143,1
89.99512,0.18606445,1.5148054,0.001431089,9.88478,-0.9637645,43.485924,43.3324,3.598417,1
89.99822,2.0207715,4.4342794,0.00069635606,8.526069,-2.5337472,15.790478,14.841374,5.389038,1
0.0,0.076522216,0.2798264,44.019505,15.03529,10.393867,0.0,0.0,0.0,1
89.99858,2.7694335,6.0195084,0.00014972099,0.0,-5.3116007,27.174343,24.875097,10.937866,1
89.98515,0.26033202,0.4675483,0.0037781186,12.839093,2.4924562,39.74806,39.718273,1.3982544,1
89.99611,-0.121950686,1.9200326,0.00047468365,9.468219,-3.83636,96.30098,95.595184,11.323926,1
89.992775,0.2506421,1.0869993,0.0013731138,17.475636,-0.5033554,20.02443,19.956924,1.633728,1
89.99528,1.0575098,2.378382,0.0017309337,15.025264,-3.0783195,7.415166,7.4135375,0.15539551,1
89.99805,5.5396876,5.4064064,0.0013188864,19.131489,-0.12239632,0.0,0.0,0.0,1
89.982,0.0037915038,0.41152152,0.0011371492,10.722195,-2.9199028,294.02206,293.92163,7.4593105,1
89.993904,-0.00045654297,1.2262324,0.0004881893,11.747923,-3.3406205,154.98654,153.90082,16.96232,1
89.99883,-0.009848633,6.3322897,0.00015484958,8.036384,-5.023307,301.5038,267.61685,137.65083,1
89.99909,4.396953,5.0810637,0.0015201005,15.21917,-1.190815,10.421289,9.978344,3.0059814,1
89.99754,1.6739111,3.227278,0.00036173643,12.929097,-3.7049003,120.478096,118.172264,23.392258,1
89.965485,0.034609374,0.21010011,0.0059549296,12.619005,-2.800579,156.43787,156.42194,2.0809937,1
89.994064,0.5012109,1.4878535,0.0010857811,15.021909,-1.6308933,12.534223,12.432532,1.5933838,1
89.98861,0.1919226,0.55356246,0.005015255,13.040824,-1.3273727,148.00319,147.96075,3.4575875,1
89.98538,-0.058657225,0.4452375,0.002465401,11.110585,-1.3550204,83.63529,83.553604,3.4762678,1
89.99463,0.10715454,1.3280275,0.0010113538,10.132321,-4.304461,198.48827,198.35341,5.9981556,1
89.990425,-0.06239746,0.6953078,0.0011233535,10.901138,-2.665098,55.351273,55.263054,3.1029334,1
89.993996,0.44880858,1.2631925,0.0020440046,11.839996,1.4260253,20.101858,20.043762,1.5257639,1
89.98343,0.0190625,0.42396688,0.0015662331,13.054357,-0.94419134,122.4203,122.35606,3.919585,1
89.99596,0.13809815,1.8114277,0.004282016,10.613835,-2.86181,24.098083,23.923489,2.8043616,1
89.99869,-0.30937988,5.4791446,0.00016627628,10.877674,-2.607937,230.67581,218.10594,73.197784,1
0.0,-2.728484e-12,0.0,0.0,12.246978,0.23871021,166.81526,166.81526,0.0,1
89.9975,-0.14552735,2.8862076,0.00025929275,9.473469,-4.546424,133.42188,130.60904,26.790722,1
0.0,1.0231815e-12,0.0,0.0,8.912834,1.0092387,587.8653,587.8653,0.0,1
89.83331,0.0058374023,0.037179813,0.4402835,15.7865505,0.48988852,44.408875,44.408634,0.08831787,1
0.0,0.0125,0.035009373,41.92965,14.034152,0.12949343,128.37663,128.37663,0.0,1
89.99395,-0.060197756,1.0870744,0.0006640203,9.176728,-3.298379,238.48965,238.27435,8.910737,1
89.903015,0.1658435,0.40900555,44.649734,14.032818,-1.489652,30.688019,30.688019,0.0,1
89.96608,0.33390749,0.35106772,0.017436234,22.592918,3.1083772,0.0,0.0,0.0,1
